Date,Open,High,Low,Close,Volume,Adj Close
2014-04-24,11.43,11.43,11.155,11.409,0,11.409
2014-04-25,11.148,11.286,11.148,11.155,0,11.155
2014-04-28,11.286,11.332,11.286,11.286,0,11.286
2014-04-29,11.345999999999998,11.345999999999998,11.333,11.332,0,11.332
2014-04-30,11.372,11.383,11.372,11.333,0,11.333
2014-05-01,11.35,11.35,11.337,11.383,0,11.383
2014-05-02,11.351,11.385,11.351,11.337,0,11.337
2014-05-05,11.374,11.434,11.374,11.385,0,11.385
2014-05-06,11.433,11.584,11.433,11.427,0,11.427
2014-05-07,11.586,11.726,11.586,11.584,0,11.584
2014-05-08,11.741,11.741,11.44,11.726,0,11.726
2014-05-09,11.526,11.526,11.441,11.44,0,11.44
2014-05-12,11.47,11.524,11.468,11.441,0,11.441
2014-05-13,11.524,11.602,11.524,11.524,0,11.524
2014-05-14,11.603,11.709,11.603,11.602,0,11.602
2014-05-15,11.702,11.702,11.607,11.709,0,11.709
2014-05-16,11.554,11.73,11.554,11.607,0,11.607
2014-05-19,11.722,11.73,11.714,11.726,0,11.726
2014-05-20,11.736,11.736,11.731,11.73,0,11.73
2014-05-21,11.725,11.725,11.709,11.731,0,11.731
2014-05-22,11.702,11.734000000000002,11.702,11.709,0,11.709
2014-05-23,11.754,11.754,11.719,11.734000000000002,0,11.734000000000002
2014-05-26,11.718,11.718,11.695,11.719,0,11.719
2014-05-27,11.68,11.68,11.68,11.695,0,11.695
2014-05-28,11.685,11.685,11.685,11.689,0,11.689
2014-05-29,11.708,11.708,11.615,11.685,0,11.685
2014-05-30,11.627,11.627,11.581,11.615,0,11.615
2014-06-02,11.565,11.678,11.565,11.581,0,11.581
2014-06-03,11.69,11.728,11.69,11.678,0,11.678
2014-06-04,11.717,11.717,11.697,11.728,0,11.728
2014-06-05,11.719,11.719,11.653,11.697,0,11.697
2014-06-06,11.613,11.613,11.613,11.611,0,11.611
2014-06-09,11.555,11.555,11.555,11.606,0,11.606
2014-06-10,11.582,11.582,11.423,11.555,0,11.555
2014-06-11,11.428,11.48,11.428,11.423,0,11.423
2014-06-12,11.476,11.488,11.474,11.48,0,11.48
2014-06-13,11.455,11.578,11.455,11.474,0,11.474
2014-06-16,11.58,11.677,11.569,11.578,0,11.578
2014-06-17,11.662,11.678,11.662,11.652,0,11.652
2014-06-18,11.692,11.725,11.692,11.678,0,11.678
2014-06-19,11.703,11.703,11.667,11.725,0,11.725
2014-06-20,11.683,11.685,11.683,11.667,0,11.667
2014-06-23,11.66,11.66,11.659,11.683,0,11.683
2014-06-24,11.705,11.705,11.705,11.647,0,11.647
2014-06-25,11.719,11.719,11.708,11.705,0,11.705
2014-06-26,11.689,11.689,11.665,11.708,0,11.708
2014-06-27,11.667,11.667,11.529000000000002,11.665,0,11.665
2014-06-30,11.502,11.53,11.497,11.529000000000002,0,11.529000000000002
